Tag Strain Sex grp Agewks ME
217 3 1 1 63.43 220.32
217 3 1 1 64.43 182.44
217 3 1 1 65.43 167.23
217 3 1 1 66.43 167.97
217 3 1 1 67.43 179.62
217 3 1 1 68.43 185.20
217 3 1 1 69.43 190.08
217 3 1 1 70.43 157.83
217 3 1 1 71.71 210.72
217 3 1 1 72.43 160.61
217 3 1 1 73.57 147.28
217 3 1 1 74.43 180.86
217 3 1 1 75.57 171.23
217 3 1 1 76.43 162.66
217 3 1 1 77.43 125.20
217 3 1 1 78.43 126.46
217 3 1 1 79.43 131.27
217 3 1 1 80.43 128.93
217 3 1 1 81.71 127.39
217 3 1 1 82.43 133.12
217 3 1 1 83.43 108.26
217 3 1 1 84.43 102.84
218 3 1 1 30.43 120.41
218 3 1 1 31.43 111.87
218 3 1 1 32.43 108.32
218 3 1 1 33.43 107.91
218 3 1 1 34.43  99.34
218 3 1 1 35.43  99.88
218 3 1 1 36.43 106.59
218 3 1 1 37.43  99.90
218 3 1 1 38.43 115.25
218 3 1 1 39.43 123.29
218 3 1 1 40.43 111.92
218 3 1 1 41.43 127.36
218 3 1 1 42.43 138.81
218 3 1 1 43.43  86.24
218 3 1 1 44.43 147.22
218 3 1 1 45.43 156.17
218 3 1 1 46.43 140.62
218 3 1 1 47.43 145.46
218 3 1 1 48.43 169.02
218 3 1 1 49.57 162.15
218 3 1 1 50.43 163.98
218 3 1 1 51.43 170.29
218 3 1 1 52.43 187.31
218 3 1 1 53.43 193.96
218 3 1 1 54.43 223.54
218 3 1 1 55.43 214.12
218 3 1 1 56.43 221.23
218 3 1 1 57.43 223.12
218 3 1 1 58.43 227.40
218 3 1 1 59.43 226.46
218 3 1 1 60.43 256.21
218 3 1 1 61.43 229.96
218 3 1 1 62.43 214.19
218 3 1 1 63.43 226.75
218 3 1 1 64.43 195.43
218 3 1 1 65.43 161.38
218 3 1 1 66.43 195.47
218 3 1 1 67.43 184.41
218 3 1 1 68.43 186.02
218 3 1 1 69.43 157.79
218 3 1 1 70.43 164.03
218 3 1 1 71.71 209.20
218 3 1 1 72.43 145.17
218 3 1 1 73.57 173.60
218 3 1 1 74.43 167.99
218 3 1 1 75.57 143.97
218 3 1 1 76.43 201.50
218 3 1 1 77.43 161.71
