Location,ApertureWidth,ApertureLength,Circularity,N.Telochonc.Whorls,Whorl.First.Primary,N.Primary.Whorls,Whorl.Axial.Striae,Whorl.Tertiary.Groove,Whorl.Spiral.Striae
Congo,5.9,7.2,0.82,6,3,5,3,0,0
Congo,5.4,6.4,0.84,6,2,8,2,0,0
Congo,2.8,3.9,0.72,5,2,7,2,0,0
Congo,2.9,3.9,0.74,5,2,8,3,0,0
Congo,2.5,3.5,0.71,5,2,9,3,0,5
Congo,2.5,3.8,0.66,5,1,7,1,0,5
Congo,3.1,3.5,0.89,5,3,11,2,0,0
Bermuda,11.9,15.6,0.76,9,3,5,2,0,8
Bermuda,14,18.4,0.76,7,2,6,3,0,0
Bermuda,12.5,16.3,0.77,7,3,7,2,6,0
Bermuda,6.3,8.4,0.75,7,2,5,3,7,6
Bermuda,13.8,17.5,0.79,7,1,4,1,7,5
Bermuda,13.3,17.4,0.76,8,2,8,2,8,7
Bermuda,13.1,16.7,0.78,8,3,6,2,7,7
Bermuda,10.4,13.5,0.77,7,2,6,2,7,0
Bermuda,11.3,14.9,0.76,7,2,11,2,0,4
Bermuda,12.9,16.5,0.78,7,2,5,2,7,0
Congo,13.8,16.8,0.82,7,1,8,3,0,0
Congo,13.5,18.2,0.74,8,3,8,3,8,0
Congo,12.5,16.6,0.75,7,2,8,2,7,6
Congo,12.8,16.3,0.79,7,2,4,2,7,0
Congo,5.7,7.2,0.79,6,2,6,2,5,0
Congo,13,18,0.72,7,2,6,2,6,0
Congo,11,14.1,0.78,7,2,6,2,7,0
Congo,13.6,19.4,0.7,7,2,6,2,6,5
Congo,13.6,16.9,0.8,7,2,5,2,7,0
Congo,7.2,8.9,0.81,6,2,8,2,0,0
Congo,7.5,9.4,0.8,6,1,4,1,0,0
Congo,13.8,17.2,0.8,6,1,5,2,6,0
Congo,9.5,12.5,0.76,6,2,8,2,6,6
Congo,14.6,19.2,0.76,7,2,8,3,7,0
Congo,7.4,9,0.82,6,2,8,3,6,0
Congo,7,8.9,0.79,6,2,8,2,6,0
Congo,13.4,17.5,0.77,7,2,8,2,6,0
Congo,12.8,17.1,0.75,6,2,6,2,6,0
Congo,8.6,11,0.78,6,2,8,1,6,6
Congo,8.9,11.4,0.78,7,1,6,1,7,0
Belize,8.8,11.3,0.78,7,3,11,3,6,0
Belize,8.6,11.2,0.77,7,2,3,3,0,0
Belize,8.8,11.5,0.75,7,2,5,3,0,0
Belize,8,10,0.8,6,3,6,2,6,0
Belize,8,10.2,0.78,7,2,4,2,0,5
Belize,7.9,10.4,0.76,7,3,11,3,7,0
Belize,8.4,10.1,0.83,6,2,8,2,6,0
Belize,8.5,11.4,0.75,7,3,6,2,0,0
Belize,8.8,11.4,0.77,7,3,11,2,7,0
Belize,7.9,10.4,0.76,6,2,11,2,0,0
Belize,10.1,12.2,0.83,7,2,6,3,0,6
Belize,7.4,9.6,0.77,7,1,4,2,7,0
Belize,7.9,10.5,0.75,7,2,4,3,7,0
Belize,8.3,10.1,0.82,7,3,9,3,7,0
Belize,9,11.7,0.77,7,3,7,3,6,0
Belize,8.6,10.4,0.83,7,2,5,3,6,7
Belize,10.3,12.4,0.83,7,2,8,2,7,0
Belize,8.7,10.9,0.8,7,2,6,3,7,0
Belize,7.9,10,0.79,7,2,4,2,7,0
Belize,7.6,9.3,0.82,7,4,11,3,7,0
Jamaica,10.8,13.9,0.78,7,3,8,4,7,0
Jamaica,10.6,14.1,0.75,7,3,10,4,0,0
Jamaica,11.2,14.1,0.79,7,2,3,3,0,0
Jamaica,10.5,14.4,0.73,6,2,7,4,6,0
Jamaica,11.2,14.5,0.77,6,2,6,3,6,0
Jamaica,11,13.8,0.8,6,2,6,3,5,0
Jamaica,9.7,13.1,0.74,6,2,9,3,7,0
Jamaica,11.7,15.6,0.75,7,1,7,3,5,0
Jamaica,10,12.3,0.81,6,1,5,2,0,0
Jamaica,10.4,12.4,0.84,6,2,5,3,0,5
Jamaica,9,11.4,0.79,6,2,9,3,5,0
Jamaica,10.5,12.4,0.85,5,1,10,2,4,5
Jamaica,11.4,14.8,0.77,6,2,4,3,0,5
Jamaica,9.8,12.2,0.8,6,3,5,3,6,5
Jamaica,7.2,9.6,0.75,6,1,4,3,0,5
Jamaica,10,12.9,0.78,6,2,5,3,6,5
Jamaica,11.1,14.5,0.77,6,2,4,4,6,5
Jamaica,10.6,14,0.76,6,1,4,2,0,6
Jamaica,11.9,14.4,0.83,7,2,11,3,7,0
Jamaica,9.5,11.8,0.81,6,2,8,3,0,6
Jamaica,10.2,13.1,0.78,6,2,8,3,6,0
Jamaica,10,12,0.83,7,2,8,5,7,0
Jamaica,10.3,12.4,0.83,6,1,6,3,0,0
Jamaica,9.9,11.8,0.84,6,2,6,3,0,6
Jamaica,10.2,12.1,0.84,7,2,8,3,7,5
Jamaica,10.8,13.1,0.82,6,2,8,3,5,0
Jamaica,6.6,8.3,0.8,6,2,8,3,0,4
Jamaica,11.3,14.3,0.79,5,2,8,2,0,0
Jamaica,10.3,12.8,0.8,6,2,4,3,6,0
Jamaica,10.7,12.9,0.83,6,2,9,2,0,6
Jamaica,10.5,12.9,0.81,6,2,7,4,0,6
Florida,12.3,16.2,0.76,8,4,8,6,0,0
Florida,13.8,17.8,0.78,9,4,8,5,0,0
Florida,11.8,15.5,0.76,7,4,5,2,7,0
Florida,13.1,17.4,0.75,8,4,12,5,0,0
Florida,11.9,15,0.79,7,5,8,5,0,0
Florida,12.6,17.8,0.71,6,2,6,3,0,6
Florida,13.2,17.1,0.77,7,4,8,6,0,0
Florida,13.3,17.5,0.76,8,3,7,4,8,0
Florida,12.2,16.4,0.74,8,3,8,4,8,0
Florida,14,18.3,0.77,9,4,7,3,0,0
Florida,13.1,18.1,0.72,9,4,6,3,8,9
Florida,12.4,16.1,0.77,8,4,5,3,0,0
Florida,13.3,17.1,0.78,9,4,3,3,9,0
Florida,12.5,15,0.83,9,4,5,3,9,0
Florida,12.5,15.5,0.81,9,5,10,2,0,9
Florida,11.8,14.8,0.8,10,4,5,3,0,0
Florida,12.5,16.2,0.77,9,5,5,4,9,9
Florida,11.9,15.2,0.78,8,4,7,3,0,8
Florida,12.9,16.5,0.78,7,3,7,3,7,7
Florida,11.4,15.5,0.74,8,2,2,1,0,8
Florida,11.7,16.4,0.71,8,4,5,2,8,7
Florida,11.7,16.3,0.72,8,3,3,3,8,8
Florida,11.7,17.2,0.68,8,3,4,3,8,0
Florida,12.5,16,0.78,8,3,3,3,8,8
Florida,12.3,16.3,0.75,8,3,4,3,8,8
Florida,12.8,17.1,0.75,8,2,9,1,8,0
Florida,11.8,16.3,0.72,8,3,7,2,8,8
Florida,12.9,17.4,0.74,9,3,2,2,9,9
Florida,11.7,16.5,0.71,8,2,3,1,0,7
Florida,13.7,19.3,0.71,8,3,5,3,8,0
Florida,11.7,16.3,0.72,9,4,4,4,8,7
Florida,13.2,18,0.73,7,3,4,6,7,6
Florida,11.9,15.9,0.75,7,2,6,1,7,6
Florida,10.8,14.8,0.73,8,3,5,2,8,0
Florida,11.7,16.1,0.73,8,3,4,2,7,6
Florida,12.6,17.6,0.72,8,3,4,4,6,0
Florida,11.8,16.6,0.71,7,2,2,2,6,5
Florida,11.9,16.8,0.71,7,2,2,2,6,7
Florida,11.9,16,0.74,7,2,6,2,6,0
Florida,11.4,16,0.71,8,2,5,2,6,0
Florida,12.3,17.4,0.71,9,3,6,3,0,8
Florida,7.1,10.3,0.69,7,1,4,1,6,7
Florida,11.6,16.1,0.72,8,4,4,3,8,0
Florida,12.4,16.8,0.74,8,3,3,2,8,7
Florida,12.5,16.9,0.74,8,3,4,2,8,4
Florida,11.9,15.7,0.76,8,3,5,3,7,0
Florida,12.4,17.5,0.71,8,3,3,2,7,6
Florida,11.7,16,0.73,8,3,6,2,8,0
Florida,12.5,17.2,0.73,8,3,6,2,0,6
Florida,11.9,15.9,0.75,8,3,6,2,7,8
Florida,12.6,18.2,0.69,7,2,4,2,7,7
Florida,11.3,15,0.75,8,2,5,2,7,6
Florida,11.5,16,0.72,8,3,3,3,8,6
Florida,12.1,17.4,0.7,8,2,3,2,8,6
Florida,12,17.1,0.7,8,3,2,3,7,0
Florida,6.7,9.4,0.71,8,2,3,2,6,5
Florida,11.6,15.9,0.73,8,3,4,2,7,7
Florida,12.2,16.8,0.73,8,2,7,2,7,8
Florida,6.8,9.5,0.72,8,2,4,2,7,7
Florida,8,10.8,0.74,7,1,4,1,7,5
